"Timestamp","What do you think of Bitcoin?","Have you ever invested in Bitcoin or any other cryptocurrencies?","Do you know other cryptocurrencies?","If you invested in Bitcoin or other cryptocurrencies, did you make a profit?","Do you recommend investing in Bitcoin?","Do you think investing in Bitcoin is safer than investing in real estate?","Do you think Bitcoin is going to last in the next few years?"
"2022/04/11 10:05:01 PM GMT+4","It is just a ""trend""","No","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe no"
"2022/04/11 10:12:28 PM GMT+4","It is just a ""trend""","No","Yes","I haven't invested","I will be neutral","No","Maybe no"
"2022/04/11 10:13:33 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:22:35 PM GMT+4","It is a good investment","Yes","Yes","I haven't invested","Absolutely","Yes","Absolutely not"
"2022/04/11 10:24:14 PM GMT+4","It is just a ""trend""","I was thinking about it","Yes","No","I will be neutral","Yes","Maybe yes"
"2022/04/11 10:24:27 PM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:25:21 PM GMT+4","It is a good investment","I was thinking about it","No","Yes","Absolutely","Yes","Absolutely not"
"2022/04/11 10:25:44 PM GMT+4","It is a good investment","No","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:25:51 PM GMT+4","I do not care about it","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:26:53 PM GMT+4","It is a good investment","No","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:26:57 PM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:27:30 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/11 10:29:22 PM GMT+4","It is a good investment","Yes","Yes","No","Absolutely","Yes","Maybe yes"
"2022/04/11 10:30:22 PM GMT+4","It is a good investment","Yes","Yes","No","I will be neutral","No","It will definitely"
"2022/04/11 10:31:00 PM GMT+4","It is a good investment","Yes","No","Yes","Absolutely","Yes","Maybe yes"
"2022/04/11 10:31:03 PM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","Absolutely","No","It will definitely"
"2022/04/11 10:31:19 PM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","Yes","Maybe yes"
"2022/04/11 10:32:32 PM GMT+4","I do not care about it","No","No","I haven't invested","I will be neutral","No","Maybe no"
"2022/04/11 10:33:35 PM GMT+4","It is a good investment","No","Yes","I haven't invested","I will be neutral","No","It will definitely"
"2022/04/11 10:43:45 PM GMT+4","It is a good investment","No","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:51:31 PM GMT+4","It is a good investment","No","No","No","I will be neutral","No","It will definitely"
"2022/04/11 10:52:27 PM GMT+4","It is just a ""trend""","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 10:54:24 PM GMT+4","It is just a ""trend""","No","I think I do but I am not sure","I haven't invested","No way","No","Maybe yes"
"2022/04/11 10:55:12 PM GMT+4","It is a good investment","Yes","Yes","No","No way","Yes","Absolutely not"
"2022/04/11 10:57:28 PM GMT+4","It is a good investment","No","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 11:04:25 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 11:05:42 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","Yes","It will definitely"
"2022/04/11 11:07:06 PM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","No","Maybe yes"
"2022/04/11 11:14:37 PM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","Absolutely not"
"2022/04/11 11:16:14 PM GMT+4","It is a good investment","Yes","I think I do but I am not sure","Yes","I will be neutral","Yes","It will definitely"
"2022/04/11 11:17:37 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","Absolutely","No","Maybe yes"
"2022/04/11 11:18:19 PM GMT+4","It is a good investment","No","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 11:18:27 PM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/11 11:18:31 PM GMT+4","It is a good investment","No","Yes","Yes","Absolutely","No","Maybe yes"
"2022/04/11 11:18:48 PM GMT+4","It is a good investment","I was thinking about it","Yes","Yes","I will be neutral","No","It will definitely"
"2022/04/11 11:22:18 PM GMT+4","I do not care about it","Yes","Yes","Yes","Absolutely","No","Maybe yes"
"2022/04/11 11:22:37 PM GMT+4","It is a good investment","No","I think I do but I am not sure","No","I will be neutral","Yes","Maybe yes"
"2022/04/11 11:26:30 PM GMT+4","It is a good investment","No","No","Yes","Absolutely","Yes","Maybe yes"
"2022/04/11 11:29:16 PM GMT+4","It is a good investment","No","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 11:30:42 PM GMT+4","It is just a ""trend""","No","Yes","I haven't invested","I will be neutral","No","It will definitely"
"2022/04/11 11:31:20 PM GMT+4","It is a good investment","I was thinking about it","Yes","Yes","Absolutely","No","It will definitely"
"2022/04/11 11:36:21 PM GMT+4","It is a good investment","Yes","Yes","No","I will be neutral","No","Maybe yes"
"2022/04/11 11:37:55 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/11 11:39:19 PM GMT+4","It is just a ""trend""","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","It will definitely"
"2022/04/11 11:39:22 PM GMT+4","It is just a ""trend""","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/11 11:39:24 PM GMT+4","It is a bad investment","I was thinking about it","Yes","Yes","I will be neutral","No","It will definitely"
"2022/04/11 11:39:51 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/11 11:40:00 PM GMT+4","I do not care about it","I was thinking about it","Yes","No","I will be neutral","No","Absolutely not"
"2022/04/11 11:40:11 PM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/11 11:40:26 PM GMT+4","It is a good investment","I was thinking about it","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/11 11:41:10 PM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/11 11:41:18 PM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","Absolutely","No","Maybe yes"
"2022/04/11 11:41:51 PM GMT+4","I do not care about it","No","No","No","No way","No","Maybe yes"
"2022/04/11 11:42:02 PM GMT+4","It is a good investment","No","Yes","No","I will be neutral","No","Maybe no"
"2022/04/11 11:44:16 PM GMT+4","It is just a ""trend""","I was thinking about it","Yes","I haven't invested","Absolutely","Yes","It will definitely"
"2022/04/11 11:57:22 PM GMT+4","I never heard of it","I was thinking about it","I think I do but I am not sure","Yes","I will be neutral","Yes","Maybe yes"
"2022/04/12 12:00:58 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 12:03:50 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","Maybe yes"
"2022/04/12 12:04:54 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 12:06:27 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","No","It will definitely"
"2022/04/12 12:10:59 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 12:15:26 AM GMT+4","It is a bad investment","Yes","Yes","No","I will be neutral","No","It will definitely"
"2022/04/12 12:44:41 AM GMT+4","It is a good investment","Yes","Yes","Yes","No way","No","Absolutely not"
"2022/04/12 12:45:28 AM GMT+4","It is a good investment","I was thinking about it","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 12:54:39 AM GMT+4","I do not care about it","No","Yes","I haven't invested","No way","No","It will definitely"
"2022/04/12 12:55:10 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","Yes","Maybe yes"
"2022/04/12 1:06:34 AM GMT+4","I do not care about it","No","No","I haven't invested","I will be neutral","No","Absolutely not"
"2022/04/12 1:11:42 AM GMT+4","It is just a ""trend""","Yes","Yes","I haven't invested","I will be neutral","Yes","Maybe yes"
"2022/04/12 1:44:57 AM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 1:59:31 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 2:02:40 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","Absolutely","No","Maybe yes"
"2022/04/12 2:03:19 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 2:09:04 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","Absolutely","No","It will definitely"
"2022/04/12 2:11:00 AM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","Yes","I will be neutral","Yes","Maybe yes"
"2022/04/12 2:17:33 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 2:25:56 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 2:29:42 AM GMT+4","It is just a ""trend""","No","No","No","No way","Yes","It will definitely"
"2022/04/12 2:36:02 AM GMT+4","I do not care about it","No","No","No","No way","No","Maybe yes"
"2022/04/12 2:40:45 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","Absolutely","Yes","It will definitely"
"2022/04/12 2:53:28 AM GMT+4","It is just a ""trend""","No","No","No","No way","No","Maybe no"
"2022/04/12 3:05:23 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 3:05:48 AM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 4:43:25 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","Absolutely","Yes","It will definitely"
"2022/04/12 4:54:05 AM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 5:02:20 AM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 6:50:53 AM GMT+4","It is a good investment","I was thinking about it","No","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 8:13:11 AM GMT+4","It is a good investment","Yes","Yes","No","Absolutely","No","Maybe no"
"2022/04/12 9:11:16 AM GMT+4","I never heard of it","No","No","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 9:46:39 AM GMT+4","It is just a ""trend""","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 9:46:47 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","No","It will definitely"
"2022/04/12 9:59:52 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 10:25:02 AM GMT+4","I do not care about it","I was thinking about it","No","I haven't invested","I will be neutral","No","Maybe no"
"2022/04/12 10:26:45 AM GMT+4","I do not care about it","No","Yes","I haven't invested","I will be neutral","No","Maybe no"
"2022/04/12 10:31:27 AM GMT+4","It is a bad investment","No","I think I do but I am not sure","No","Absolutely","Yes","Maybe yes"
"2022/04/12 10:33:54 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","No","Maybe no"
"2022/04/12 10:37:09 AM GMT+4","It is a good investment","I was thinking about it","Yes","I haven't invested","I will be neutral","Yes","It will definitely"
"2022/04/12 10:40:12 AM GMT+4","It is a good investment","I was thinking about it","Yes","No","Absolutely","No","It will definitely"
"2022/04/12 11:12:25 AM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 11:21:52 AM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 12:21:57 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","Absolutely","Yes","It will definitely"
"2022/04/12 12:22:30 PM GMT+4","It is just a ""trend""","No","No","I haven't invested","I will be neutral","Yes","It will definitely"
"2022/04/12 12:38:13 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","It will definitely"
"2022/04/12 12:40:09 PM GMT+4","I do not care about it","I was thinking about it","No","I haven't invested","No way","No","Maybe yes"
"2022/04/12 12:41:39 PM GMT+4","It is a bad investment","No","Yes","I haven't invested","No way","No","Maybe yes"
"2022/04/12 12:43:15 PM GMT+4","It is a good investment","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 1:03:18 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 1:42:06 PM GMT+4","I do not care about it","Yes","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 3:29:17 PM GMT+4","I do not care about it","No","Yes","I haven't invested","I will be neutral","No","Maybe yes"
"2022/04/12 4:52:48 PM GMT+4","I do not care about it","Yes","Yes","Yes","I will be neutral","No","Maybe yes"
"2022/04/12 6:40:02 PM GMT+4","It is a good investment","Yes","Yes","Yes","Absolutely","Yes","It will definitely"
"2022/04/12 8:53:13 PM GMT+4","It is a good investment","I was thinking about it","I think I do but I am not sure","I haven't invested","I will be neutral","No","It will definitely"